DATA,ATTACCHI INFORMATICI E INTERNET,MIGRAZIONE,AMBIENTE,TERRORISMO,VIOLENZA DI GENERE E DISCRIMINAZIONE,ORGANIZZAZIONI CRIMINALI,GUERRA E PACE,ELEZIONI
2016/11/05,2,45,40,27,15,80,77,50
2016/11/06,5,26,25,23,13,49,62,61
2016/11/07,12,46,51,31,18,142,76,127
2016/11/08,10,52,40,38,24,129,91,143
2016/11/09,5,101,56,27,24,156,112,288
2016/11/10,13,61,42,36,32,116,78,190
2016/11/11,7,74,53,60,32,90,115,149
2016/11/12,2,41,49,14,17,61,69,62
2016/11/13,0,38,42,15,11,42,52,38
2016/11/14,6,69,53,47,34,103,80,91
2016/11/15,4,71,59,54,49,151,126,112
2016/11/16,6,63,54,58,29,126,117,113
2016/11/17,5,48,56,51,34,105,85,80
2016/11/18,3,62,73,38,32,114,92,57
2016/11/19,1,38,36,24,19,63,53,31
2016/11/20,3,48,40,14,14,39,54,24
2016/11/21,7,61,62,47,24,98,95,75
2016/11/22,6,67,50,44,21,118,91,73
2016/11/23,1,63,48,29,25,107,85,78
2016/11/24,4,46,38,33,12,87,67,43
2016/11/25,2,47,34,23,8,70,68,34
2016/11/26,2,32,21,20,14,59,71,18
2016/11/27,2,33,31,15,9,38,50,29
2016/11/28,11,61,67,42,21,113,94,60
2016/11/29,11,71,57,54,25,115,117,76
2016/11/30,6,64,58,54,25,132,107,55
2016/12/01,4,40,45,40,21,135,88,52
2016/12/02,10,66,54,37,28,109,94,55
2016/12/03,4,35,36,19,15,66,62,27
2016/12/04,8,37,46,14,4,46,49,35
2016/12/05,4,73,58,40,16,96,98,59
2016/12/06,6,71,58,49,28,163,115,77
2016/12/07,6,80,47,42,20,120,105,72
2016/12/08,9,53,41,39,20,121,106,45
2016/12/09,4,55,41,39,23,114,88,46
2016/12/10,9,45,60,26,16,74,70,29
2016/12/11,5,37,40,16,11,51,54,25
2016/12/12,9,52,61,38,28,70,81,52
2016/12/13,20,42,66,36,26,129,93,57
2016/12/14,18,73,76,35,16,178,125,72
2016/12/15,18,55,74,39,17,124,69,59
2016/12/16,14,44,59,34,24,105,91,51
2016/12/17,3,28,56,21,10,70,44,27
