DATA,ATTACCHI INFORMATICI E INTERNET,MIGRAZIONE,AMBIENTE,TERRORISMO,VIOLENZA DI GENERE E DISCRIMINAZIONE,ORGANIZZAZIONI CRIMINALI,GUERRA E PACE,ELEZIONI
2016/08/03,4,41,20,24,9,36,47,10
2016/08/04,4,42,14,33,11,49,36,11
2016/08/05,1,28,13,20,7,34,36,19
2016/08/06,1,17,6,7,4,18,20,1
2016/08/07,2,22,11,11,3,20,24,7
2016/08/08,4,47,18,25,6,27,36,14
2016/08/09,4,27,16,23,7,38,28,11
2016/08/10,2,29,11,16,12,23,39,11
2016/08/11,4,40,23,41,10,35,52,18
2016/08/12,3,29,19,20,2,25,45,21
2016/08/13,0,18,9,10,4,13,21,9
2016/08/14,0,16,4,8,3,15,22,6
2016/08/15,5,47,15,28,6,19,37,11
2016/08/16,2,59,29,34,11,35,41,14
2016/08/17,2,41,20,23,6,29,32,15
2016/08/18,3,44,23,23,10,25,47,8
2016/08/19,1,39,18,20,7,38,32,9
2016/08/20,0,19,11,7,4,17,20,3
2016/08/21,0,19,12,13,5,13,23,6
2016/08/22,0,32,22,25,9,28,32,16
2016/08/23,4,27,17,25,8,26,34,14
2016/08/24,3,48,32,27,3,32,41,11
2016/08/25,5,47,29,32,10,25,43,14
2016/08/26,4,48,20,28,7,44,48,13
2016/08/27,0,17,12,13,3,9,23,0
2016/08/28,1,14,3,9,0,15,12,6
2016/08/29,2,27,15,17,8,33,37,11
2016/08/30,1,36,19,20,11,36,36,21
2016/08/31,3,49,28,23,10,34,37,14
2016/09/01,1,49,14,24,4,31,35,18
2016/09/02,2,46,24,27,8,27,43,21
2016/09/03,1,14,10,12,5,15,25,10
2016/09/04,1,22,10,10,5,18,20,11
2016/09/05,1,43,24,28,8,34,34,27
2016/09/06,5,47,25,27,10,43,40,15
2016/09/07,0,34,16,18,9,35,45,10
2016/09/08,2,53,24,26,9,43,42,18
2016/09/09,2,33,15,22,2,36,54,10
2016/09/10,1,22,6,10,6,18,22,7
2016/09/11,0,18,8,17,4,20,26,9
2016/09/12,2,47,24,28,13,30,39,23
